date,tmax,tmin,tmean,sun_hrs,snow_depth_cm,precip_mm,rad_W_m2,sl_press_hPA,hum_perc,cc_oktas
20200101,110,17,49,0,0,0,13,10293,90,7
20200102,100,47,78,0,0,20,13,10204,89,8
20200103,90,80,90,27,0,0,22,10214,81,4
20200104,90,22,56,14,0,0,36,10342,81,6
20200105,89,60,75,0,0,0,32,10332,82,8
20200106,131,66,78,4,0,8,24,10222,81,6
20200107,128,41,86,13,0,2,30,10218,92,6
20200108,134,79,103,0,0,10,37,10206,87,8
20200109,99,95,114,29,0,44,28,10069,86,6
20200110,114,55,77,35,0,0,43,10231,77,5
20200111,117,49,82,4,0,6,43,10242,81,7
20200112,112,90,103,28,0,4,27,10182,82,5
20200113,133,45,78,6,0,58,36,10080,88,7
20200114,102,72,102,0,0,126,27,9960,89,7
20200115,127,70,86,20,0,4,18,10067,84,5
20200116,96,52,89,4,0,56,38,10144,85,6
20200117,79,73,84,18,0,0,34,10125,84,5
20200118,77,9,44,58,0,0,43,10279,84,1
20200119,88,-9,34,61,0,2,60,10443,84,1
20200120,80,-3,42,29,0,0,66,10477,84,4
20200121,81,-21,30,56,0,0,53,10419,88,1
20200122,81,-2,40,0,0,2,58,10376,96,8
20200123,70,49,65,0,0,0,17,10315,86,8
20200124,81,58,64,0,0,0,10,10233,92,8
20200125,105,56,68,0,0,2,12,10185,90,8
20200126,96,56,81,0,0,30,21,10096,92,7
20200127,82,73,84,1,0,86,36,9998,90,6
20200128,97,22,52,38,0,0,36,9960,82,3
20200129,130,23,60,58,0,0,69,10090,78,2
20200130,128,45,88,0,0,2,70,10044,90,8
20200131,124,86,107,0,0,14,23,10061,89,7
20200201,133,94,109,33,0,84,39,10049,76,4
20200202,120,63,98,0,0,2,64,10075,83,7
20200203,94,81,101,10,0,2,48,10126,75,4
20200204,98,39,67,9,0,0,49,10225,72,4
20200205,95,16,57,31,0,0,42,10366,88,3
20200206,108,-3,46,46,0,0,68,10316,91,4
20200207,111,4,56,43,0,14,80,10194,86,3
20200208,132,31,71,34,0,0,77,10146,78,6
20200209,97,75,103,0,0,128,68,9944,84,8
20200210,84,53,75,21,0,36,24,9974,75,5
20200211,91,34,59,55,0,0,68,10079,63,2
20200212,104,22,57,61,0,104,99,10142,74,3
20200213,125,40,72,9,0,14,91,9988,84,6
20200214,131,18,72,30,0,36,56,10165,84,5
20200215,118,51,91,0,0,138,77,10063,91,8
20200216,114,99,108,1,0,70,20,9960,87,6
20200217,114,53,83,33,0,0,29,10096,70,3
20200218,98,43,78,26,0,22,88,10181,77,7
20200219,103,24,61,0,0,14,74,10188,83,8
20200220,116,48,75,10,0,46,36,10119,83,6
20200221,143,37,77,0,0,0,42,10224,73,5
20200222,151,67,105,16,0,4,67,10183,72,7
20200223,122,88,119,13,0,32,70,10170,76,8
20200224,97,57,89,0,0,24,61,10105,86,7
20200225,92,46,72,16,0,10,30,10004,79,6
20200226,82,8,50,43,0,78,84,10039,71,4
20200227,119,20,51,45,0,16,100,10038,75,5
20200228,98,0,60,0,0,116,91,10056,88,7
20200229,105,47,72,35,0,8,34,9864,80,5
20200301,101,42,73,69,0,54,99,9888,68,3
20200302,106,38,70,34,0,0,137,9904,78,5
20200303,83,14,60,27,0,8,106,10025,78,3
20200304,61,-1,41,0,0,56,92,10074,90,8
20200305,101,39,50,0,0,102,54,9951,93,8
20200306,133,23,62,87,0,0,41,10053,71,4
20200307,143,16,75,2,0,4,165,10150,82,7
20200308,132,63,103,46,0,22,96,10060,79,6
20200309,160,45,88,16,0,76,120,10111,81,5
20200310,154,63,112,2,0,0,79,10048,,8
20200311,109,79,117,46,0,18,18,10093,,4
20200312,130,44,77,67,0,14,147,10101,66,4
20200313,136,46,88,30,0,36,144,10174,67,6
20200314,122,65,101,13,0,0,115,10136,82,8
20200315,129,91,107,0,0,22,104,10085,84,8
20200316,136,28,78,102,0,0,73,10211,73,2
20200317,156,44,90,6,0,0,198,10272,82,5
20200318,79,94,125,3,0,10,88,10247,82,8
20200319,101,60,70,0,0,6,65,10262,94,8
20200320,109,59,80,11,0,0,35,10285,69,7
20200321,113,38,73,89,0,0,130,10264,62,2
20200322,139,33,73,97,0,0,,10265,63,1
20200323,155,18,78,114,0,0,,10266,54,0
20200324,142,4,80,114,0,0,,10257,54,0
20200325,139,1,72,116,0,0,,10245,50,0
20200326,139,10,75,111,0,0,,10233,53,0
20200327,118,14,77,109,0,0,,10239,61,0
20200328,81,44,81,47,0,0,231,10290,65,3
20200329,107,34,58,58,0,0,160,10377,54,5
20200330,113,20,63,10,0,0,158,10346,70,7
20200331,93,25,69,54,0,0,105,10314,68,2
20200401,140,-9,42,35,0,0,162,10240,66,5
20200402,142,54,97,17,0,0,129,10161,66,7
20200403,165,68,105,45,0,0,138,10178,65,5
20200404,217,27,96,88,0,0,183,10200,66,2
20200405,183,59,138,115,0,6,241,10136,51,0
20200406,200,104,143,45,0,0,,10174,63,5
20200407,219,45,122,93,0,0,189,10285,60,2
20200408,232,98,158,32,0,0,232,10246,62,6
20200409,242,85,158,104,0,0,185,10247,61,1
20200410,250,87,164,115,0,0,264,10246,61,0
20200411,248,90,170,89,0,0,268,10220,57,3
20200412,118,95,171,94,0,0,248,10146,56,2
20200413,134,76,97,79,0,0,241,10254,58,4
20200414,191,32,83,125,0,0,253,10285,53,2
20200415,196,25,108,127,0,0,,10224,56,0
20200416,147,46,121,64,0,0,,10162,62,3
20200417,161,90,118,21,0,170,187,10167,70,6
20200418,185,64,112,31,0,0,121,10179,81,6
20200419,185,62,123,106,0,0,190,10200,63,2
20200420,188,56,121,127,0,0,,10174,55,0
20200421,214,82,135,129,0,0,,10167,50,0
20200422,241,71,142,125,0,0,,10193,53,0
20200423,219,66,153,116,0,0,,10193,56,0
20200424,168,78,148,123,0,0,,10159,54,0
20200425,206,68,118,101,0,0,,10152,68,2
20200426,186,42,124,130,0,0,,10120,61,1
20200427,112,70,128,30,0,84,309,10075,66,5
20200428,142,72,92,0,0,62,180,10046,91,8
20200429,142,72,107,15,0,18,51,10014,83,7
20200430,155,62,102,33,0,42,161,9951,83,5
20200501,176,74,114,60,0,2,172,9996,73,5
20200502,152,57,117,120,0,0,259,10107,62,2
20200503,178,86,119,0,0,2,311,10159,70,8
20200504,154,97,138,73,0,0,142,10193,64,4
20200505,187,79,117,116,0,0,270,10213,59,2
20200506,231,50,118,134,0,0,,10253,60,0
20200507,242,59,145,126,0,0,,10225,61,1
20200508,249,100,171,120,0,0,335,10177,52,3
20200509,179,105,177,124,0,0,327,10124,50,1
20200510,126,116,148,33,0,0,320,10109,65,5
20200511,162,47,87,70,0,0,170,10199,50,4
20200512,133,23,92,84,0,0,278,10207,54,3
20200513,147,61,97,41,0,0,293,10177,55,5
20200514,196,30,88,116,0,0,262,10228,56,2
20200515,190,31,113,110,0,0,344,10240,57,1
20200516,211,76,133,57,0,0,311,10244,53,6
20200517,239,77,144,85,0,0,278,10239,57,4
20200518,260,102,171,111,0,0,305,10236,54,3
20200519,278,116,188,118,0,0,,10231,59,2
20200520,274,130,204,140,0,0,,10212,50,0
20200521,232,130,202,117,0,0,,10187,48,2
20200522,199,167,199,75,0,0,354,10153,51,5
20200523,225,112,156,102,0,16,304,10225,56,3
20200524,261,104,164,65,0,0,320,10304,58,4
20200525,265,101,181,136,0,0,305,10343,52,0
20200526,263,116,191,120,0,0,,10353,51,1
20200527,226,137,200,92,0,0,343,10351,51,4
20200528,243,116,171,134,0,0,340,10337,50,1
20200529,257,110,176,137,0,0,,10276,44,0
20200530,253,99,178,133,0,0,,10231,49,1
20200531,268,124,189,137,0,0,,10225,44,0
20200601,254,113,191,136,0,0,,10224,50,0
20200602,192,123,189,131,0,0,,10186,46,1
20200603,166,136,164,0,0,4,348,10086,63,8
20200604,164,105,136,11,0,0,121,10034,67,8
20200605,145,112,138,53,0,14,194,9971,58,6
20200606,187,72,108,30,0,98,234,9994,75,5
20200607,166,81,134,38,0,20,189,10094,76,5
20200608,201,104,135,21,0,0,212,10188,64,7
20200609,164,106,153,45,0,0,229,10200,56,7
20200610,214,127,146,0,0,52,249,10151,83,8
20200611,214,109,161,17,0,8,108,10114,80,8
20200612,251,137,176,19,0,24,156,10054,81,6
20200613,229,123,187,74,0,16,192,10084,69,4
20200614,253,129,179,80,0,0,302,10140,70,3
